LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,DATE
L. James - A. Davis - D. Russell - T. Prince - A. Reaves,LAL,1,16,117.1,129.4,-12.3,64.3,3.00,19.1,17.6,68.8,42.4,0.1,58.6,61.4,103.72,44.1,10/24/2023
A. Davis - T. Prince - R. Hachimura - G. Vincent - A. Reaves,LAL,1,5,40.0,140.0,-100.0,50.0,0.33,5.9,54.5,66.7,57.1,0.3,15.4,15.4,93.20,-23.5,10/24/2023
L. James - D. Russell - C. Wood - G. Vincent - C. Reddish,LAL,1,5,187.5,100.0,87.5,66.7,0.00,25.0,100,50.0,75.0,0.0,77.8,75.9,74.48,106.1,10/24/2023
L. James - D. Russell - C. Wood - G. Vincent - J. Hayes,LAL,1,3,100.0,160.0,-60.0,50.0,1.00,16.7,50.0,100,66.7,0.3,50.0,50.0,76.69,8.7,10/24/2023
A. Davis - C. Wood - T. Prince - C. Reddish - A. Reaves,LAL,1,2,133.3,116.7,16.7,66.7,0.00,25.0,0.0,75.0,50.0,0.0,60.0,68.0,115.97,61.8,10/24/2023
A. Davis - D. Russell - R. Hachimura - G. Vincent - C. Reddish,LAL,1,2,120.0,140.0,-20.0,33.3,1.00,16.7,0.0,100,50.0,0.2,75.0,75.0,105.11,46.7,10/24/2023
A. Davis - D. Russell - T. Prince - R. Hachimura - A. Reaves,LAL,1,2,150.0,140.0,10.0,50.0,1.00,16.7,100,50.0,60.0,0.3,66.7,77.3,108.91,55.0,10/24/2023
D. Russell - R. Hachimura - G. Vincent - C. Reddish - J. Hayes,LAL,1,2,50.0,50.0,0.0,0.0,0.00,0.0,0.0,100,50.0,0.3,33.3,33.3,89.03,0.0,10/24/2023
L. James - A. Davis - D. Russell - C. Wood - C. Reddish,LAL,1,2,200.0,60.0,140.0,66.7,0.00,33.3,0.0,100,66.7,0.0,100,100,110.77,100,10/24/2023
L. James - D. Russell - T. Prince - R. Hachimura - A. Reaves,LAL,1,2,100.0,33.3,66.7,66.7,0.00,20.0,50.0,80.0,66.7,0.0,42.9,42.9,136.06,85.7,10/24/2023
A. Davis - C. Wood - T. Prince - G. Vincent - A. Reaves,LAL,1,1,0.0,133.3,-133.3,0.0,0.00,0.0,0.0,100,33.3,0.3,0.0,0.0,113.26,-40.0,10/24/2023
A. Davis - D. Russell - C. Wood - G. Vincent - C. Reddish,LAL,1,1,0.0,300.0,-300.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.91,-25.0,10/24/2023
A. Davis - D. Russell - C. Wood - T. Prince - A. Reaves,LAL,1,1,50.0,200.0,-150.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,56.8,102.86,0.0,10/24/2023
A. Davis - R. Hachimura - G. Vincent - C. Reddish - A. Reaves,LAL,1,1,0.0,0.0,0.0,0.0,0.00,0.0,0.0,100,33.3,0.3,0.0,0.0,151.58,100,10/24/2023
G. Vincent - C. Reddish - J. Hayes - M. Christie - M. Lewis,LAL,1,1,200.0,133.3,66.7,0.0,0.00,0.0,0.0,0.0,0.0,0.0,100,106.4,96.00,61.5,10/24/2023
